title,genre,premiere,runtime,imdb_score,language,year
Tallulah,Comedy-drama,2016-07-29,111.0,6.7,English,2016
The Old Guard,Superhero/Action,2020-07-10,124.0,6.7,English,2020
Tony Robbins: I Am Not Your Guru,Documentary,2016-07-15,116.0,6.7,English,2016
Upstarts,Drama,2019-10-18,112.0,6.7,Hindi,2019
22-Jul,Drama,2018-10-10,144.0,6.8,English,2018
7 años,Drama,2016-10-28,76.0,6.8,Spanish,2016
A Futile and Stupid Gesture,Biographical/Comedy,2018-01-26,101.0,6.8,English,2018
A Life of Speed: The Juan Manuel Fangio Story,Documentary,2020-03-20,92.0,6.8,Spanish,2020
A Love Song for Latasha,Documentary,2020-09-21,19.0,6.8,English,2020
All in My Family,Documentary,2019-05-03,39.0,6.8,English/Mandarin,2019
Always Be My Maybe,Romantic comedy,2019-05-31,102.0,6.8,English,2019
Becoming,Documentary,2020-05-06,89.0,6.8,English,2020
Long Live Brij Mohan,Comedy,2018-08-03,105.0,6.8,Hindi,2018
Calibre,Thriller,2018-06-29,101.0,6.8,English,2018
Death to 2020,Comedy,2020-12-27,70.0,6.8,English,2020
GIMS: On the Record,Documentary,2020-09-17,96.0,6.8,French,2020
Have a Good Trip: Adventures in Psychedelics,Documentary,2020-05-11,85.0,6.8,English,2020
Heroin(e) ,Documentary,2017-09-12,39.0,6.8,English,2017
Mercury 13,Documentary,2018-04-20,79.0,6.8,English,2018
Saving Capitalism,Documentary,2017-11-21,73.0,6.8,English,2017
Serious Men,Drama,2020-10-02,114.0,6.8,Hindi,2020
The Boys in the Band,Drama,2020-09-30,121.0,6.8,English,2020
The Boys in the Band: Something Personal,Aftershow / Interview,2020-09-30,28.0,6.8,English,2020
The Life Ahead,Drama,2020-11-13,95.0,6.8,Italian,2020
The Other Side of the Wind,Drama,2018-11-02,122.0,6.8,English,2018
The Trader,Documentary,2018-02-09,23.0,6.8,Georgian,2018
To the Bone,Drama,2017-07-14,107.0,6.8,English,2017
Tony Parker: The Final Shot,Documentary,2021-01-06,98.0,6.8,French,2021
AK vs AK,Thriller,2020-12-24,108.0,6.9,Hindi,2020
Amanda Knox,Documentary,2016-09-30,92.0,6.9,English,2016
Bigflo & Oil: Hip Hop Frenzy,Documentary,2020-10-08,100.0,6.9,French,2020
Biggie: I Got a Story to Tell,Documentary,2021-03-01,97.0,6.9,English,2021
Cops and Robbers,Animation / Short,2020-12-28,7.0,6.9,English,2020
I Don't Feel at Home in This World Anymore,Drama,2017-02-24,96.0,6.9,English,2017
Laerte-se,Documentary,2017-05-19,100.0,6.9,Portuguese,2017
Mank,Biopic,2020-12-04,132.0,6.9,English,2020
Our Souls at Night,Romance,2017-09-29,103.0,6.9,English,2017
Outlaw King,Historical-epic,2018-11-09,121.0,6.9,English,2018
Pagglait,Comedy-drama,2021-03-26,114.0,6.9,Hindi,2021
ReMastered: Who Shot the Sheriff?,Documentary,2018-10-12,57.0,6.9,English,2018
Seeing Allred,Documentary,2018-02-09,95.0,6.9,English,2018
Spelling the Dream,Documentary,2020-06-03,83.0,6.9,English,2020
The Claudia Kishi Club,Documentary,2020-07-10,17.0,6.9,English,2020
The Half of It,Romance,2020-05-01,105.0,6.9,English,2020
The Highwaymen,Crime drama,2019-03-29,131.0,6.9,English,2019
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Comedy / Musical,2019-05-23,30.0,6.9,English,2019
The Meyerowitz Stories (New and Selected),Comedy-drama,2017-10-13,112.0,6.9,English,2017
Feminists: What Were They Thinking?,Documentary,2018-10-12,86.0,7.0,English,2018
Gaga: Five Foot Two,Documentary,2017-09-22,100.0,7.0,English,2017
I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron,Aftershow / Interview,2020-11-03,14.0,7.0,English,2020
Kingdom of Us,Documentary,2017-10-13,109.0,7.0,English,2017
"Lorena, Light-Footed Woman",Documentary,2019-11-20,28.0,7.0,Spanish,2019
Los Tigres del Norte at Folsom Prison,Documentary,2019-09-15,64.0,7.0,Spanish,2019
Ma Rainey's Black Bottom,Drama,2020-12-18,94.0,7.0,English,2020
Ma Rainey's Black Bottom: A Legacy Brought to Screen,Aftershow / Interview,2020-12-18,31.0,7.0,English,2020
Operation Varsity Blues: The College Admissions Scandal,Documentary,2021-03-17,99.0,7.0,English,2021
Pele,Documentary,2021-02-23,108.0,7.0,English,2021
ReMastered: Devil at the Crossroads,Documentary,2019-04-26,48.0,7.0,English,2019
ReMastered: The Lion's Share,Documentary,2019-05-17,84.0,7.0,English,2019
ReMastered: The Miami Showband Massacre,Documentary,2019-03-22,70.0,7.0,English,2019
Resurface,Documentary,2017-09-01,27.0,7.0,English,2017
Rocko's Modern Life: Static Cling,Animation / Comedy,2019-08-09,45.0,7.0,English,2019
Rose Island,Comedy,2020-12-09,117.0,7.0,Italian,2020
The Christmas Chronicles,Christmas/Fantasy/Adventure/Comedy,2018-11-22,104.0,7.0,English,2018
The Dirt,Biopic,2019-03-22,108.0,7.0,English,2019
The Night Comes for Us,Action-thriller,2018-10-19,121.0,7.0,Indonesian,2018
13th: A Conversation with Oprah Winfrey & Ava DuVernay,Aftershow / Interview,2017-01-26,36.0,7.1,English,2017
Angela's Christmas,Animation,2018-11-30,30.0,7.1,English,2018
Angela's Christmas Wish,Animation,2020-12-01,47.0,7.1,English,2020
Beats,Drama,2019-06-19,110.0,7.1,English,2019
Circus of Books,Documentary,2020-04-22,92.0,7.1,English,2020
Dance Dreams: Hot Chocolate Nutcracker,Documentary,2020-11-27,80.0,7.1,English,2020
Derren Brown: Sacrifice,Mentalism special,2018-10-19,49.0,7.1,English,2018
El Pepe: A Supreme Life,Documentary,2019-12-27,73.0,7.1,Spanish,2019
End Game,Documentary,2018-05-04,40.0,7.1,English,2018
Evelyn,Documentary,2019-09-10,96.0,7.1,English,2019
Ferry,Crime drama,2021-05-14,106.0,7.1,Dutch,2021
Grass Is Greener,Documentary,2019-04-20,97.0,7.1,English,2019
Guillermo Vilas: Settling the Score,Documentary,2020-10-27,94.0,7.1,Spanish,2020
Joshua: Teenager vs. Superpower,Documentary,2017-05-26,78.0,7.1,English,2017
Keith Richards: Under the Influence,Documentary,2015-09-18,81.0,7.1,English,2015
Knock Down the House,Documentary,2019-05-01,87.0,7.1,English,2019
Loudon Wainwright III: Surviving Twin,One-man show,2018-11-13,91.0,7.1,English,2018
My Beautiful Broken Brain,Documentary,2016-03-18,91.0,7.1,English,2016
One of Us,Documentary,2017-10-20,95.0,7.1,English,2017
Pieces of a Woman,Drama,2021-01-07,126.0,7.1,English,2021
"Ram Dass, Going Home",Documentary,2018-04-06,31.0,7.1,English,2018
ReMastered: Tricky Dick & the Man in Black,Documentary,2018-11-02,58.0,7.1,English,2018
Rooting for Roona,Documentary,2020-10-15,41.0,7.1,Bengali,2020
The Devil All the Time,Psychological thriller,2020-09-16,138.0,7.1,English,2020
The Dig,Drama,2021-01-29,112.0,7.1,English,2021
The Great Hack,Documentary,2019-07-24,114.0,7.1,English,2019
The White Tiger,Drama,2021-01-22,125.0,7.1,English,2021
To All the Boys I've Loved Before,Romantic comedy,2018-08-17,99.0,7.1,English,2018
American Murder: The Family Next Door,Documentary,2020-09-30,82.0,7.2,English,2020
Audrie & Daisy,Documentary,2016-09-23,98.0,7.2,English,2016
First They Killed My Father,Drama,2017-09-15,136.0,7.2,Khmer/English/French,2017
Fyre: The Greatest Party That Never Happened,Documentary,2019-01-18,97.0,7.2,English,2019
Into the Inferno,Documentary,2016-10-28,107.0,7.2,English,2016
LA Originals,Documentary,2020-04-10,92.0,7.2,English,2020
Ladies First,Documentary,2018-03-08,39.0,7.2,English/Hindi,2018
Love per Square Foot,Romantic comedy,2018-02-14,133.0,7.2,Hindi,2018
Paddleton,Drama-Comedy,2019-02-22,89.0,7.2,English,2019
Private Life,Drama,2018-10-05,124.0,7.2,English,2018
Seventeen,Coming-of-age comedy-drama,2019-10-18,99.0,7.2,Spanish,2019
Sometimes,Drama,2018-05-01,101.0,7.2,Tamil,2018
Soni,Crime drama,2019-01-18,97.0,7.2,Hindi,2019
The 40-Year-Old Version,Comedy,2020-10-09,124.0,7.2,English,2020
The Disciple,Drama,2021-04-30,129.0,7.2,Marathi,2021
The Edge of Democracy,Documentary,2019-06-19,121.0,7.2,Portuguese,2019
The King,Historical drama,2019-11-01,140.0,7.2,English,2019
The Road to El Camino: A Breaking Bad Movie,Making-of,2019-10-29,13.0,7.2,English,2019
The Siege of Jadotville,War,2016-10-07,108.0,7.2,English,2016
Zion ,Documentary,2018-08-10,11.0,7.2,English,2018
Dolemite Is My Name,Biopic,2019-10-25,118.0,7.3,English,2019
El Camino: A Breaking Bad Movie,Crime drama,2019-10-11,121.0,7.3,English,2019
Extremis,Documentary,2016-09-13,24.0,7.3,English,2016
Father Soldier Son,Documentary,2020-07-17,100.0,7.3,English,2020
Get Me Roger Stone,Documentary,2017-05-12,101.0,7.3,English,2017
I'm No Longer Here,Drama,2020-05-27,105.0,7.3,Spanish,2020
Mucho Mucho Amor: The Legend of Walter Mercado ,Documentary,2020-07-08,96.0,7.3,Spanish/English,2020
Octonauts & the Great Barrier Reef,Animation,2020-10-13,47.0,7.3,English,2020
Okja,Action-adventure,2017-06-28,121.0,7.3,English/Korean,2017
On My Skin,Crime drama,2018-09-12,100.0,7.3,Italian,2018
Raat Akeli Hai,Thriller,2020-07-31,149.0,7.3,Hindi,2020
ReMastered: Massacre at the Stadium,Documentary,2019-01-11,64.0,7.3,English/Spanish,2019
ReMastered: The Two Killings of Sam Cooke,Documentary,2019-02-08,64.0,7.3,English,2019
Secrets of the Saqqara Tomb,Documentary,2020-10-28,114.0,7.3,English/Arabic,2020
Sitara: Let Girls Dream,Animation / Short,2020-03-08,15.0,7.3,English,2020
Sky Ladder: The Art of Cai Guo-Qiang,Documentary,2016-10-14,79.0,7.3,English/Mandarin,2016
Team Foxcatcher,Documentary,2016-04-29,90.0,7.3,English/Russian,2016
The Ballad of Buster Scruggs,Western,2018-11-16,132.0,7.3,English,2018
The Death and Life of Marsha P. Johnson,Documentary,2017-10-06,105.0,7.3,English,2017
The Fundamentals of Caring,Comedy-drama,2016-06-24,97.0,7.3,English,2016
The Other One: The Long Strange Trip of Bob Weir,Documentary,2015-05-22,83.0,7.3,English,2015
American Factory,Documentary,2019-08-21,110.0,7.4,English,2019
Fire in Paradise,Documentary,2019-11-01,39.0,7.4,English,2019
Long Shot,Documentary,2017-09-29,40.0,7.4,English,2017
Miss Americana,Documentary,2020-01-31,85.0,7.4,English,2020
Period. End of Sentence.,Documentary,2019-02-12,26.0,7.4,English/Hindi,2019
Shawn Mendes: Live in Concert,Concert Film,2020-11-25,87.0,7.4,English,2020
Shirkers,Documentary,2018-10-26,97.0,7.4,English,2018
The Black Godfather,Documentary,2019-06-07,118.0,7.4,English,2019
The Irishman: In Conversation,Aftershow / Interview,2019-11-27,23.0,7.4,English,2019
The Speed Cubers,Documentary,2020-07-29,40.0,7.4,English,2020
They'll Love Me When I'm Dead,Documentary,2018-11-02,98.0,7.4,English,2018
Tig,Documentary,2015-07-17,80.0,7.4,English,2015
"Barbra: The Music, The Mem'ries, The Magic!",Concert Film,2017-11-22,108.0,7.5,English,2017
Blackpink: Light Up the Sky,Documentary,2020-10-14,79.0,7.5,Korean,2020
City of Joy,Documentary,2018-09-07,74.0,7.5,English,2018
Dick Johnson Is Dead,Documentary,2020-10-02,90.0,7.5,English,2020
Homecoming: A Film by Beyonce ,Documentary,2019-04-17,137.0,7.5,English,2019
Invader Zim: Enter the Florpus,Animation / Science Fiction,2019-08-16,71.0,7.5,English,2019
Joan Didion: The Center Will Not Hold,Documentary,2017-10-27,98.0,7.5,English,2017
John Mulaney & the Sack Lunch Bunch,Variety show,2019-12-24,70.0,7.5,English,2019
Reversing Roe,Documentary,2018-09-13,99.0,7.5,English,2018
The White Helmets,Documentary,2016-09-16,40.0,7.5,English,2016
Athlete A,Documentary,2020-06-24,104.0,7.6,English,2020
Ludo,Anthology/Dark comedy,2020-11-12,149.0,7.6,Hindi,2020
Quincy,Documentary,2018-09-21,124.0,7.6,English,2018
Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,Documentary,2019-06-12,144.0,7.6,English,2019
Tell Me Who I Am,Documentary,2019-10-18,85.0,7.6,English,2019
The Bleeding Edge,Documentary,2018-07-27,100.0,7.6,English,2018
The Social Dilemma,Documentary,2020-09-09,94.0,7.6,English,2020
The Two Popes,Drama,2019-12-20,125.0,7.6,English,2019
"What Happened, Miss Simone?",Documentary,2015-06-26,84.0,7.6,English,2015
Yeh Ballet,Drama,2020-02-21,117.0,7.6,Hindi,2020
Anima,Musical / Short,2019-06-27,15.0,7.7,English,2019
Beasts of No Nation,War drama,2015-10-16,136.0,7.7,English/Akan,2015
Brene Brown: The Call to Courage,Documentary,2019-04-19,76.0,7.7,English,2019
Crip Camp: A Disability Revolution,Documentary,2020-03-25,108.0,7.7,English,2020
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",Documentary,2017-11-17,94.0,7.7,English,2017
Justin Timberlake + The Tennessee Kids,Concert Film,2016-10-12,90.0,7.7,English,2016
Road to Roma,Making-of,2020-02-11,72.0,7.7,Spanish,2020
Roma,Drama,2018-12-14,135.0,7.7,Spanish,2018
If Anything Happens I Love You,Animation / Short,2020-11-20,12.0,7.8,English,2020
The Irishman,Crime drama,2019-11-27,209.0,7.8,English,2019
The Trial of the Chicago 7,Drama,2020-10-16,130.0,7.8,English,2020
A Secret Love,Documentary,2020-04-29,82.0,7.9,English,2020
Icarus,Documentary,2017-08-04,120.0,7.9,English,2017
Marriage Story,Drama,2019-12-06,136.0,7.9,English,2019
The Ivory Game,Documentary,2016-11-04,112.0,7.9,English,2016
Struggle: The Life and Lost Art of Szukaiski,Documentary,2018-12-21,105.0,8.0,English,2018
Chasing Coral ,Documentary,2017-07-14,89.0,8.1,English,2017
My Octopus Teacher,Documentary,2020-09-07,85.0,8.1,English,2020
Rising Phoenix,Documentary,2020-08-26,106.0,8.1,English,2020
13th,Documentary,2016-10-07,100.0,8.2,English,2016
Disclosure: Trans Lives on Screen,Documentary,2020-06-19,107.0,8.2,English,2020
Klaus,Animation/Christmas/Comedy/Adventure,2019-11-15,97.0,8.2,English,2019
Seaspiracy,Documentary,2021-03-24,89.0,8.2,English,2021
The Three Deaths of Marisela Escobedo,Documentary,2020-10-14,109.0,8.2,Spanish,2020
Cuba and the Cameraman ,Documentary,2017-11-24,114.0,8.3,English,2017
Dancing with the Birds,Documentary,2019-10-23,51.0,8.3,English,2019
Ben Platt: Live from Radio City Music Hall,Concert Film,2020-05-20,85.0,8.4,English,2020
Taylor Swift: Reputation Stadium Tour,Concert Film,2018-12-31,125.0,8.4,English,2018
Winter on Fire: Ukraine's Fight for Freedom,Documentary,2015-10-09,91.0,8.4,English/Ukranian/Russian,2015
Springsteen on Broadway,One-man show,2018-12-16,153.0,8.5,English,2018
Emicida: AmarElo - It's All For Yesterday,Documentary,2020-12-08,89.0,8.6,Portuguese,2020
David Attenborough: A Life on Our Planet,Documentary,2020-10-04,83.0,9.0,English,2020
