title,genre,premiere,runtime,imdb_score,language,year
Things Heard & Seen,Horror,2021-04-29,121.0,5.3,English,2021
"To Each, Her Own",Romantic comedy,2018-06-24,95.0,5.3,French,2018
Who Would You Take to a Deserted Island?,Drama,2019-04-12,93.0,5.3,Spanish,2019
XOXO,Drama,2016-08-26,92.0,5.3,English,2016
A Babysitter's Guide to Monster Hunting,Comedy/Fantasy/Family,2020-10-15,98.0,5.4,English,2020
A Christmas Prince: The Royal Baby,Romantic comedy,2019-12-05,85.0,5.4,English,2019
Despite Everything,Comedy,2019-05-03,78.0,5.4,Spanish,2019
Dolly Kitty and Those Twinkling Stars,Drama,2020-09-18,120.0,5.4,Hindi,2020
Freaks: You're One of Us,Supernatural drama,2020-09-02,92.0,5.4,German,2020
"Game Over, Man!",Action/Comedy,2018-03-23,101.0,5.4,English,2018
Guilty,Thriller,2020-03-06,119.0,5.4,Hindi,2020
In the Tall Grass,Horror,2019-10-04,101.0,5.4,English,2019
Madame Claude,Drama,2021-04-02,112.0,5.4,French,2021
Naked,Comedy,2017-08-11,96.0,5.4,English,2017
Outside the Wire,Action/Science fiction,2021-01-15,114.0,5.4,English,2021
The Princess Switch: Switched Again,Romantic comedy,2020-11-19,97.0,5.4,English,2020
Under the Riccione Sun,Romantic teenage drama,2020-07-01,101.0,5.4,Italian,2020
A Very Murray Christmas,Comedy / Musical,2015-12-04,56.0,5.5,English,2015
Been So Long,Musical,2018-10-26,100.0,5.5,English,2018
Dead Kids,Thriller,2019-12-01,94.0,5.5,Filipino,2019
Get the Grift,Comedy,2021-04-28,94.0,5.5,Portuguese,2021
Ghosts of Sugar Land,Documentary,2019-10-16,21.0,5.5,English,2019
House Arrest,Comedy,2019-11-15,104.0,5.5,Hindi,2019
Kevin Hart's Guide to Black History,Variety show,2019-02-08,63.0,5.5,English,2019
Love Wedding Repeat,Romantic comedy,2020-04-10,100.0,5.5,English,2020
Mute,Science fiction/Mystery,2018-02-23,126.0,5.5,English,2018
Òlòt?ré,Crime drama,2020-10-02,106.0,5.5,English,2020
Red Dot,Thriller,2021-02-11,86.0,5.5,Swedish,2021
Ride or Die,Psychological thriller drama,2021-04-15,142.0,5.5,Japanese,2021
Step Sisters,Comedy,2018-01-19,108.0,5.5,English,2018
The Cloverfield Paradox,Science fiction,2018-02-04,102.0,5.5,English,2018
